"text,intent"
i need immediate counseling
urgent counseling
emergency therapist
mental crisis support
panic help
urgent anxiety help
urgent depression help
i feel hopeless
i feel helpless
i need rescue
help me calm
i am overwhelmed
i feel pressure
i feel breaking down
i feel unstable mentally
i need emergency help now
help me right now
urgent intervention
mental help urgently
i need assistance now
i feel like crying uncontrollably
i feel lost completely
i need emergency support system
i feel extreme pressure
i feel suffocated
i feel panic rising
i need immediate relief
i need urgent conversation
please someone help
i feel like screaming
i feel mentally exhausted
i cannot think clearly
i feel like collapsing mentally
i feel emotionally broken
i feel extreme anxiety
i need urgent calming help
i need breathing help
help me breathe
i am hyperventilating
i feel dizzy mentally
i need urgent grounding
help me focus
i am shaking
i feel fear
i need urgent reassurance
i feel like something bad will happen
i am scared of everything
i feel unsafe alone
i need someone to talk
urgent talk needed
help me relax now
i need fast mental support
i need urgent therapy
i feel like giving up everything
i cannot continue like this
i feel stuck
i feel trapped
i need urgent escape mentally
help me cope
help me survive this moment
i need immediate coping help
i feel overwhelmed by thoughts
i feel panic waves
i feel fear attacks
i feel anxiety spikes
i feel unstable emotionally
i need immediate grounding help
help me stabilize
i need urgent emotional help
i feel broken inside
i need immediate support system
i feel mentally weak
i feel lost and alone
i feel isolated
i need emergency care now
what should i eat
healthy diet advice
nutrition help
food for stress
diet for anxiety
foods for depression
healthy eating
balanced diet
what to eat daily
diet plan
nutrition tips
healthy lifestyle food
foods to reduce stress
best diet for mental health
brain healthy foods
food for energy
what food helps mood
foods for better sleep
diet for better sleep
healthy breakfast ideas
healthy lunch ideas
healthy dinner ideas
nutrition guide
what to eat for focus
foods for concentration
diet for students
healthy student diet
quick healthy meals
nutrition suggestions
food advice
meal planning
daily nutrition
healthy habits food
food for brain
foods to improve mood
healthy snacks
low stress diet
anti anxiety foods
anti depression diet
food for calm mind
diet to reduce anxiety
foods to relax
nutrition for wellbeing
diet suggestions
food help
meal ideas
diet improvement
nutrition improvement
eat healthy tips
food routine
healthy eating habits
nutrition basics
balanced meal plan
diet chart
simple diet plan
food for health
foods for immunity
nutrition for immunity
healthy lifestyle diet
food guidance
nutrition consultation
diet help
meal suggestions
healthy food ideas
nutritious food
diet for energy boost
food for productivity
diet for focus
nutrition for students
diet for exams
food for study
healthy brain food
diet for mental clarity
nutrition advice daily
diet routine
meal routine
healthy food routine
nutrition daily
balanced food intake
food planning
diet management
healthy meal prep
quick nutrition tips
easy diet plan
budget healthy diet
affordable nutrition
food for fitness
diet for exercise
protein rich foods
vitamin rich foods
minerals rich foods
nutrition knowledge
food awareness
healthy choices food
food recommendations
diet suggestions daily
meal tracking
food tracking
nutrition tracking
diet monitoring
healthy eating system
nutrition system
food guide system
diet system
nutrition program
food habits improvement
diet lifestyle change
healthy living diet
food for better life
nutrition for happiness
diet for calmness
foods for peace of mind
diet for relaxation
food for mental strength
nutrition for stability
healthy food plan
diet for mood swings
food for emotional balance
nutrition for stress control
diet for anxiety control
food for depression control
nutrition for mental health improvement
diet for better living
food suggestions healthy
nutrition suggestions daily
diet advice simple
food advice simple
nutrition guidance simple
diet tips easy
healthy eating easy
nutrition basics easy
diet routine easy
food plan easy
nutrition habits easy
diet structure
food structure
nutrition structure
diet discipline
healthy food discipline
nutrition discipline
diet lifestyle habits
food lifestyle habits
nutrition lifestyle habits
diet for long term health
food for longevity
nutrition for longevity
healthy aging diet
food for brain longevity
diet for healthy life
nutrition for healthy life
food for wellness
diet for wellness
nutrition wellness
food for balance
diet for balance
nutrition balance
food harmony diet
nutrition harmony
diet harmony
food for mental peace
diet for mental peace
nutrition for peace
"sleep,i cant sleep"
"sleep,i am not sleeping well"
"sleep,i have poor sleep"
"sleep,my sleep is disturbed"
"sleep,i sleep very less"
"sleep,i sleep too much"
"sleep,my sleep schedule is bad"
"sleep,i sleep late"
"sleep,i wake up late"
"sleep,i wake up tired"
"sleep,i feel sleepy all day"
"sleep,i feel tired after sleep"
"sleep,i dont feel fresh"
"sleep,i have insomnia"
"sleep,i cant fall asleep"
"sleep,i wake up at night"
"sleep,my sleep breaks often"
"sleep,i sleep irregularly"
"sleep,i need better sleep"
"sleep,how to improve sleep"
"sleep,how to sleep better"
"sleep,good sleep tips"
"sleep,improve sleep quality"
"sleep,sleep advice"
"sleep,sleep routine help"
"sleep,night routine help"
"sleep,why am i not sleeping"
"sleep,why do i wake up tired"
"sleep,i feel exhausted after sleep"
"sleep,i dont get enough sleep"
"sleep,i oversleep daily"
"sleep,i sleep late at night"
"sleep,i use phone before sleep"
"sleep,how to fix sleep schedule"
"sleep,how to sleep early"
"sleep,how to wake early"
"sleep,i feel lazy due to sleep"
"sleep,sleep affects my mood"
"sleep,sleep affecting my health"
"sleep,i need rest"
"sleep,i dont rest properly"
"sleep,how many hours should i sleep"
"sleep,i sleep less than 5 hours"
"sleep,i sleep too long"
"sleep,i sleep randomly"
"sleep,irregular sleep pattern"
"sleep,i feel sleepy in class"
"sleep,i feel sleepy while studying"
"sleep,i nap too much"
"sleep,i cant maintain sleep routine"
"sleep,i feel restless at night"
"sleep,my mind is active at night"
"sleep,i cant relax before sleep"
"sleep,i use mobile at night"
"sleep,i scroll before sleep"
"sleep,i cant stop using phone at night"
"sleep,my sleep is poor quality"
"sleep,i wake up frequently"
"sleep,i have broken sleep"
"sleep,i feel fatigue"
"sleep,i feel low energy"
"sleep,i need better rest"
"sleep,sleep improvement tips"
"sleep,how to sleep peacefully"
"sleep,deep sleep tips"
"sleep,how to relax before sleep"
"sleep,sleep hygiene tips"
"sleep,i dont follow sleep routine"
"sleep,i need proper sleep routine"
"sleep,my sleep is inconsistent"
"sleep,i sleep at random times"
"sleep,i feel tired always"
"sleep,my sleep is unhealthy"
"sleep,i need better sleep habits"
"sleep,sleep problem help"
"sleep,sleep issues"
"sleep,fix my sleep"
"sleep,help me sleep"
"sleep,sleep disorder help"
"sleep,night sleep problems"
"sleep,daytime sleepiness"
"sleep,i cant stay awake"
"sleep,i feel drowsy"
"sleep,low sleep energy"
"sleep,i sleep but feel tired"
"sleep,i dont feel refreshed"
"sleep,sleep cycle problem"
"sleep,sleep cycle disturbed"
"sleep,i feel sleepy always"
"sleep,i cant maintain sleep timing"
"sleep,i want good sleep"
"sleep,healthy sleep tips"
"sleep,sleep routine advice"
"sleep,i dont get deep sleep"
"sleep,i wake up early unwanted"
"sleep,i feel restless sleep"
"sleep,i sleep but mind active"
"sleep,i feel heavy after sleep"
"sleep,i sleep too irregular"
"sleep,i cant fix my sleep"
"sleep,sleep pattern problem"
"sleep,i feel low sleep quality"
"sleep,how to improve sleep cycle"
"sleep,sleep consistency tips"
"sleep,sleep health advice"
"screen,i use phone too much"
"screen,my screen time is high"
"screen,i am addicted to mobile"
"screen,i scroll all day"
"screen,i use social media too much"
"screen,i waste time on phone"
"screen,i use mobile before sleep"
"screen,i use laptop all day"
"screen,i sit on screen too long"
"screen,i am addicted to reels"
"screen,i cant stop scrolling"
"screen,i check phone frequently"
"screen,i use phone at night"
"screen,screen time is affecting me"
"screen,reduce screen time"
"screen,how to reduce screen time"
"screen,screen addiction help"
"screen,phone addiction help"
"screen,digital detox help"
"screen,i feel addicted to phone"
"screen,i waste time on instagram"
"screen,i waste time on youtube"
"screen,i watch too many videos"
"screen,i play games all day"
"screen,i am addicted to gaming"
"screen,i cant focus due to phone"
"screen,phone distraction problem"
"screen,i use phone while studying"
"screen,screen affects my sleep"
"screen,screen affects my eyes"
"screen,screen affecting health"
"screen,screen usage high"
"screen,i spend hours on screen"
"screen,i sit on computer all day"
"screen,i work on screen too much"
"screen,screen fatigue"
"screen,i feel tired from screen"
"screen,i feel eye strain"
"screen,screen causing headache"
"screen,screen addiction problem"
"screen,i cant control phone use"
"screen,i check notifications constantly"
"screen,i feel restless without phone"
"screen,i need break from screen"
"screen,screen detox tips"
"screen,reduce phone usage"
"screen,phone usage control"
"screen,i feel distracted"
"screen,i cant focus due to screen"
"screen,screen is wasting my time"
"screen,screen is affecting studies"
"screen,screen affecting productivity"
"screen,i need digital break"
"screen,i want less screen time"
"screen,limit phone usage"
"screen,limit screen time"
"screen,screen time control tips"
"screen,i scroll at night"
"screen,i use phone in bed"
"screen,i am always online"
"screen,i spend too much time online"
"screen,i feel addicted to internet"
"screen,i check phone every minute"
"screen,i feel uncomfortable without phone"
"screen,i use screen non stop"
"screen,i binge watch shows"
"screen,i watch series all day"
"screen,i cant stop watching videos"
"screen,i use phone during meals"
"screen,i use phone everywhere"
"screen,i depend on phone"
"screen,screen affecting lifestyle"
"screen,screen affecting routine"
"screen,i need better habits"
"screen,i want to reduce phone use"
"screen,screen discipline tips"
"screen,i need digital discipline"
"screen,screen overuse problem"
"screen,phone overuse problem"
"screen,i feel drained by screen"
"screen,screen stress"
"screen,screen overload"
"screen,screen burnout"
"screen,i need offline time"
"screen,i need real life balance"
"screen,screen balance tips"
"activity,i dont exercise"
"activity,i am not active"
"activity,i sit all day"
"activity,i have no physical activity"
"activity,i feel lazy"
"activity,i dont workout"
"activity,i want to exercise"
"activity,how to start exercise"
"activity,i feel weak physically"
"activity,i have low stamina"
"activity,i dont move much"
"activity,i live sedentary life"
"activity,i need fitness"
"activity,fitness help"
"activity,exercise tips"
"activity,i want to be active"
"activity,i feel low energy"
"activity,i need workout routine"
"activity,i dont go to gym"
"activity,home workout ideas"
"activity,i dont walk"
"activity,i dont go outside"
"activity,i feel inactive"
"activity,i want to be fit"
"activity,i want healthy body"
"activity,i lack movement"
"activity,i feel stiff"
"activity,i dont stretch"
"activity,i want to start yoga"
"activity,yoga help"
"activity,i need physical fitness"
"activity,i feel tired quickly"
"activity,i lack strength"
"activity,i want stamina"
"activity,how to increase stamina"
"activity,i feel lazy to move"
"activity,i sit long hours"
"activity,i dont do physical work"
"activity,i need exercise routine"
"activity,i dont maintain fitness"
"activity,i want healthy lifestyle"
"activity,i feel weak body"
"activity,i need body movement"
"activity,i dont play sports"
"activity,i dont do outdoor activities"
"activity,i stay indoors"
"activity,i need movement"
"activity,i feel inactive lifestyle"
"activity,i dont follow fitness routine"
"activity,i want to improve fitness"
"activity,i feel unhealthy"
"activity,how to stay active"
"activity,activity improvement tips"
"activity,i feel slow physically"
"activity,i lack endurance"
"activity,i want to be energetic"
"activity,i need energy boost"
"activity,i feel physically drained"
"activity,i dont do workouts regularly"
"activity,i skip workouts"
"activity,i need motivation to exercise"
"activity,i feel tired without activity"
"activity,i need fitness plan"
"activity,exercise daily tips"
"activity,i want daily workout"
"activity,i feel heavy body"
"activity,i need physical improvement"
"activity,i want healthy habits"
"activity,activity level low"
"activity,i dont walk daily"
"activity,i need walking routine"
"activity,i need stretching routine"
"activity,i feel body stiffness"
"activity,i want flexible body"
"activity,i need fitness discipline"
"activity,i want active lifestyle"
"activity,i need regular exercise"
"activity,i feel inactive daily"
"activity,i want to improve health"
"activity,i need body strength"
"activity,i want healthy routine"
"activity,i need fitness habits"
"social,i feel lonely"
"social,i dont talk to people"
"social,i have no friends"
"social,i feel isolated"
"social,i avoid people"
"social,i dont socialize"
"social,i feel disconnected"
"social,i am alone"
"social,i dont interact much"
"social,i feel socially inactive"
"social,i dont meet people"
"social,i stay alone"
"social,i feel left out"
"social,i dont communicate"
"social,i avoid conversations"
"social,i feel awkward socially"
"social,i lack social skills"
"social,i want to improve communication"
"social,i feel shy"
"social,i am introvert"
"social,i avoid social events"
"social,i dont like crowds"
"social,i feel nervous around people"
"social,i dont express myself"
"social,i feel ignored"
"social,i feel rejected"
"social,i feel disconnected socially"
"social,i need social interaction"
"social,i want to talk to people"
"social,i want friends"
"social,i need social life"
"social,i feel socially weak"
"social,i avoid interaction"
"social,i dont go out"
"social,i dont hang out"
"social,i feel lonely daily"
"social,i feel empty socially"
"social,i need connection"
"social,i want better relationships"
"social,i feel alone even with people"
"social,i dont open up"
"social,i hide feelings"
"social,i dont trust people"
"social,i need emotional support"
"social,i want companionship"
"social,i feel socially anxious"
"social,i avoid meeting new people"
"social,i struggle socially"
"social,i need social confidence"
"social,i feel uncomfortable socially"
"social,i lack interaction"
"social,i need better communication"
"social,i feel disconnected from others"
"social,i want to improve social life"
"social,i need social support"
"social,i feel socially isolated"
"social,i dont share feelings"
"social,i feel distant"
"social,i need connection with people"
"social,i want to improve relationships"
"social,i feel socially weak"
"social,i need interaction daily"
"social,i feel ignored by people"
"social,i want to connect"
"social,i feel lonely at home"
"social,i need human interaction"
"social,i feel socially drained"
"social,i avoid people always"
"social,i need friends"
"social,i want to talk more"
"social,i need better communication skills"
"work,i study too much"
"work,i study too less"
"work,i work too much"
"work,i work too less"
"work,my study hours are high"
"work,my study hours are low"
"work,i feel overloaded"
"work,i feel overworked"
"work,i feel stressed from work"
"work,i feel stressed from studies"
"work,i cant manage study time"
"work,i cant manage work time"
"work,i feel busy all day"
"work,i have too much workload"
"work,i have no time to relax"
"work,i study all day"
"work,i work all day"
"work,i feel tired from work"
"work,i feel tired from study"
"work,i feel burnout"
"work,i feel exhausted"
"work,i cant balance work and life"
"work,i cant balance study and life"
"work,i need time management"
"work,time management help"
"work,i waste time studying"
"work,i cant focus on study"
"work,i cant focus on work"
"work,i procrastinate"
"work,i delay tasks"
"work,i cant finish work"
"work,i cant finish study"
"work,i feel distracted"
"work,i need productivity"
"work,how to be productive"
"work,i want better study routine"
"work,i want better work routine"
"work,i feel pressure from study"
"work,i feel pressure from work"
"work,i feel academic stress"
"work,i feel job stress"
"work,i have deadlines"
"work,i cant handle deadlines"
"work,i feel overwhelmed with work"
"work,i feel overwhelmed with study"
"work,i need better schedule"
"work,i need study plan"
"work,i need work plan"
"work,i cant manage time properly"
"work,i feel unproductive"
"work,i feel lazy to study"
"work,i feel lazy to work"
"work,i cant concentrate"
"work,i need focus tips"
"work,i need study discipline"
"work,i need work discipline"
"work,i feel burnout from study"
"work,i feel burnout from work"
"work,i need break"
"work,i dont take breaks"
"work,i work continuously"
"work,i study continuously"
"work,i feel mentally tired"
"work,i feel mentally drained"
"work,i need better routine"
"work,i feel stuck in work"
"work,i feel stuck in study"
"work,i cant organize tasks"
"work,i need task management"
"work,i feel overloaded daily"
"work,i feel busy always"
"work,i have too much work"
"work,i have too much study"
"work,i need balance"
"work,i want work life balance"
"work,i want study life balance"
"work,i need proper schedule"
"work,i want effective study"
"work,i want efficient work"
